Article Name,Accessibility Score,Metadata Score,Search Engine Visibility Score,Sharability Score,Indexing Score,Overall Score,Website Link,Article Type,Source,Year,Keywords Used,,,,,,,,
Species richness of wild bees boosts pollination services of a pollinator-dependent crop,3,2,2,3,3,2.6,https://doi.org/10.1111/1365-2664.12377,Scientific article,British Ecological Society,2014,bees,pollination,farming,,,,,,
Strategic honey bee hive placement improves honey bee visitation but not pollination in northern highbush blueberry,3,3,2,3,3,2.8,https://doi.org/10.1093/jee/toae267,Scientific article,Journal of Economic Entomology,2024,bees,orchards,farming,,,,,,
Strategic honey bee hive placement improves honey bee visitation but not pollination in northern highbush blueberry,3,3,2,3,3,2.8,https://doi.org/10.1093/jee/toae267,Scientific article,Journal of Economic Entomology,2024,bees,orchards,farming,,,,,,
Sulfoxaflor exposure reduces bumblebee reproductive success,1,3,2,2,3,1.9,https://www.nature.com/articles/s41586-018-0430-6,Scientific article,Nature,2018,bees,health,farming,,,,,,
Supplementing honey bee (Hymenoptera: Apidae) colonies with pollen increases their pollinating activity on nectariferous crops with anthers isolated from stigmas ,3,3,2,3,3,2.8,https://doi.org/10.1093/jee/toad222,Scientific article,Journal of Economic Entomology,2023,bees,farming,nutrition,,,,,,
The BUG Project Launches Urban Bee Study Across the Great Lakes Region,3,1,2,3,2,2.3,https://www.canr.msu.edu/news/the-bug-project-launches-urban-bee-study-across-the-great-lakes-region,Educational Institution,Michigan State University,2025,bees,urban,research,,,,,,
The effect of sunflower pollen age and origin on pathogen infection in the common eastern bumble bee (Apidae: Hymenoptera),1,2,2,3,3,1.8,https://doi.org/10.1093/jee/toad154,Scientific article,Journal of Economic Entomology,2023,bees,health,plants,,,,,,
The impact of climate change and the conservation of the keystone Asian honeybee using niche models and systematic prioritization,1,3,2,3,3,2.0,https://doi.org/10.1093/jee/toae018,Scientific article,Journal of Economic Entomology,2024,bees,climate,conservation,,,,,,
The importance of wild bee communities as urban pollinators and the influence of honeybee hive density,3,3,2,3,3,2.8,https://pollinationecology.org/index.php/jpe/article/view/641,Scientific article,Journal of Pollination Ecology,2021,bees,pollinators,urban,,,,,,
The survival and growth of honey bee (Hymenoptera: Apidae) colonies overwintered in cold storage: the effects of time and colony location,1,3,2,3,3,2.0,https://doi.org/10.1093/jee/toad103,Scientific article,Journal of Economic Entomology,2023,bees,health,farming,,,,,,
Toxicity of spray adjuvants and tank mix combinations used in almond orchards to adult honey bees (Apis mellifera),3,2,2,3,3,2.6,https://doi.org/10.1093/jee/toad161,Scientific article,Journal of Economic Entomology,2023,bees,pest control,orchards,,,,,,
Toxicity of spray adjuvants and tank mix combinations used in almond orchards to adult honey bees (Apis mellifera) ,3,3,2,3,3,2.8,https://doi.org/10.1093/jee/toad161,Scientific article,Journal of Economic Entomology,2023,bees,pest control,orchards,,,,,,
"Treatment of waxborne honey bee (Hymenoptera: Apidae) viruses using time, temperature, and electron-beam irradiation ",3,3,2,3,3,2.8,https://doi.org/10.1093/jee/toad216,Scientific article,Journal of Economic Entomology,2024,bees,health,farming,,,,,,
Understanding the Pollinating Services of Native Bees,3,1,2,3,2,2.3,https://extension.purdue.edu/news/county/whitley/2025/03/understanding-the-pollinating-services-of-native-bees.html?image,Educational Institution,Purdue Extension,2025,bees,pollination,farming,,,,,,
Wandering Squash Bees and Squash Cultivation,3,1,2,3,2,2.3,https://extension.oregonstate.edu/catalog/pub/em-9506-wandering-squash-bees-their-millennia-long-pursuit-squash-cultivation,Educational Institution,Oregon State University Extension,2025,bees,crops,farming,,,,,,
Wandering squash bees and their millennia-long pursuit of squash cultivation,3,3,2,3,2,2.7,https://extension.oregonstate.edu/catalog/pub/em-9506-wandering-squash-bees-their-millennia-long-pursuit-squash-cultivation,Educational Institution,Oregon State University Extension,2025,bees,farming,crops,,,,,,
Weak evidence base for bee protective pesticide mitigation measures ,3,3,2,3,3,2.8,https://doi.org/10.1093/jee/toad118,Scientific article,Journal of Economic Entomology,2023,bees,pest control,farming,,,,,,
Wild Bee Visitation Rates Exceed Pollination Thresholds in Commercial Cucurbita Agroecosystems,1,3,2,2,3,1.9,https://www.researchgate.net/publication/337870358_Wild_Bee_Visitation_Rates_Exceed_Pollination_Thresholds_in_Commercial_Cucurbita_Agroecosystems,Scientific article,ResearchGate,2019,bees,crops,pollination,,,,,,
You Have a Honey Bee Swarm? Stay Calm and Call a Beekeeper,3,1,2,3,2,2.3,https://extension.purdue.edu/news/county/whitley/2022/04/you-have-a-honey-bee-swarm-stay-calm-and-call-a-beekeeper-part-1.html,Educational Institution,Purdue Extension,2021,bees,management,farming,,,,,,
"Higher floral richness promotes rarer bee communities across remnant and reconstructed tallgrass prairies, though remnants contain higher abundances of a threatened bumble bee (Bombus Latreille)",1,2,2,3,3,1.8,https://www.sciencedirect.com/science/article/abs/pii/S0006320722004153,Scientific article,Biological Conservation,2023,Bumble bee,Farm,,,,,,,
Crop planning deep dive: cucumber considerations,3,1,2,3,2,2.3,https://blog-fruit-vegetable-ipm.extension.umn.edu/2021/01/2021-planning-cucumber-considerations.html,Educational Institution,University of Minnesota Extension,2025,crops,farming,vegetables,,,,,,
"A quick guide to harvesting and storing melons, squash, and pumpkins",3,1,2,3,2,2.3,https://blog-fruit-vegetable-ipm.extension.umn.edu/2021/09/a-quick-guide-to-harvesting-and-storing.html,Educational Institution,University of Minnesota Extension,2025,farming,fruit,vegetables,,,,,,
"Harvesting and storing melons, squash and pumpkins",3,1,2,3,2,2.3,https://extension.umn.edu/commercial-fruit-growing-guides/harvesting-and-storing-melons-squash-and-pumpkins,Educational Institution,University of Minnesota Extension,2023,farming,fruit,vegetables,,,,,,
Intercropping Industrial Hemp and Cowpea Enhances the Yield of Squash—A Pollinator-Dependent Crop,3,3,2,3,3,2.8,"https://www.mdpi.com/2077-0472/14/4/636#:~:text=Intercropping%20significantly%20increased%20the%20overall,the%20most%20diverse%20cropping%20system.",Scientific article,MDPI,2024,farming,crops,pollination,,,,,,
"Amegilla violacea (Lepeletier, 1841) (Anthophorini: Apidae) – A native bee, an effective pollinator of eggplant (Solanum melongena)",1,3,2,3,3,2.0,https://www.tandfonline.com/doi/full/10.1080/00218839.2020.1862393,Scientific article,Journal of Apicultural Research,2021,fruit,pollination,pollination services,,,,,,
Commercial bumble bees on soft fruit farms collect pollen mainly from wildflowers rather than the target crops,1,3,2,3,3,2.0,https://www.tandfonline.com/doi/abs/10.3896/IBRA.1.53.3.08,Scientific article,Journal of Apicultural Research,2015,fruit,pollination,pollination services,,,,,,
Fruit and vegetable farming,3,1,2,3,2,2.3,https://extension.umn.edu/fruit-and-vegetable-farming,Educational Institution,University of Minnesota Extension,2025,fruit,vegetables,farming,,,,,,
Impact of enhanced Osmia bicornis (Hymenoptera: Megachilidae) populations on pollination and fruit quality in commercial sweet cherry (Prunus avium L.) orchards,1,3,2,3,3,2.0,https://www.tandfonline.com/doi/full/10.1080/00218839.2019.1654062,Scientific article,Journal of Apicultural Research,2019,fruit,pollination,pollination services,,,,,,
Investigating the impact of deploying commercial Bombus terrestris for crop pollination on pathogen dynamics in wild bumble bees,1,3,2,3,3,2.0,https://www.tandfonline.com/doi/abs/10.3896/IBRA.1.52.3.06,Scientific article,Journal of Apicultural Research,2015,fruit,pollination,pollination services,,,,,,
Using frozen or fresh berries for frozen cottage foods,3,1,2,3,2,2.3,https://extension.umn.edu/cottage-food-producers/using-frozen-or-fresh-berries-frozen-cottage-foods,Educational Institution,University of Minnesota Extension,2023,fruit,food,farming,,,,,,
Horticulture - Extension Barron County,3,1,2,3,2,2.3,https://barron.extension.wisc.edu/horticulture/,Educational Institution,University of Wisconsin–Madison Extension,2023,gardening,farming,education,,,,,,
A field study examining the effects of exposure to neonicotinoid seed-treated corn on commercial bumble bee colonies,1,3,2,3,3,2.0,https://link.springer.com/article/10.1007/s10646-014-1340-5,Scientific article,Ecotoxicology,2014,honey bee,farm,corn,managed pollinators,,,,,
"A large-scale field study examining effects of exposure to clothianidin seed-treated canola on honey bee colony health, development, and overwintering success",3,2,2,3,3,2.6,https://peerj.com/articles/652/,Scientific article,PeerJ,2014,honey bee,farm,seed,managed pollinators,,,,,
A national survey of managed honey bee 2011–12 winter colony losses in the United States: results from the Bee Informed Partnershi,3,3,2,3,3,2.8,https://www.tandfonline.com/doi/abs/10.3896/IBRA.1.52.2.07,Scientific article,Journal of Apicultural Research,2013,honey bee,farm,Minnesota,managed pollinators,,,,,
A national survey of managed honey bee 2014–2015 annual colony losses in the USA,3,3,2,3,3,2.8,https://www.tandfonline.com/doi/abs/10.1080/00218839.2016.1153294,Scientific article,Journal of Apicultural Research,2022,honey bee,farm,Minnesota,managed pollinators,,,,,
A national survey of managed honey bee 2015–2016 annual colony losses in the USA,3,3,2,3,3,2.8,https://www.tandfonline.com/doi/full/10.1080/00218839.2017.1344496,Scientific article,Journal of Apicultural Research,2017,honey bee,farm,Minnesota,managed pollinators,,,,,
A review on: Importance of pollinators in fruit and vegetable production and their collateral jeopardy from agro-chemicals,3,3,3,3,3,3.0,https://www.researchgate.net/publication/327260901_A_review_on_Importance_of_pollinators_in_fruit_and_vegetable_production_and_their_collateral_jeopardy_from_agro-chemicals,Scientific article,Journal of Entomology and Zoology Studies,2018,honey bee,wild bee,farm,herbicides,vegetable,fruit,,,
A review on: role of honey bee pollination in improving crop productivity and seed quality in the northern Ethiopia,3,2,3,3,3,2.8,https://core.ac.uk/download/pdf/234684167.pdf,Scientific article,Food Science and Quality Management,2016,honey bee,farm,seed,managed pollinators,,,,,
"A Study of the Preferential Responses of Honey Bees Foraging Various Legumes in Northern Minnesota, and Certain Factors Affecting These Responses",1,1,2,3,3,1.6,https://www.proquest.com/docview/301867590?pq-origsite=gscholar&fromopenview=true,Educational Institution,University of Minnesota,1959,honey bee,farm,Minnesota,managed pollinators,,,,,
Ability of honey and aqueous plant extracts on the attraction of bees during flowering period in mango (Mangifera indica) var. Ataulfo cultivation.,3,3,2,1,3,2.6,https://www.researchgate.net/profile/Julieta-Grajales-Conesa-2/publication/374023303_INTERNATIONAL_JOURNAL_OF_AGRICULTURE_BIOLOGY_Ability_of_Honey_and_Aqueous_Plant_Extracts_on_the_Attraction_of_Bees_during_Flowering_Period_in_Mango_Mangifera_indica_var_Ataulfo_Cultivation/links/6509c05382f01628f032bf88/INTERNATIONAL-JOURNAL-OF-AGRICULTURE-BIOLOGY-Ability-of-Honey-and-Aqueous-Plant-Extracts-on-the-Attraction-of-Bees-during-Flowering-Period-in-Mango-Mangifera-indica-var-Ataulfo-Cultivation.pdf,Scientific article,INTERNATIONAL JOURNAL OF AGRICULTURE & BIOLOGY,2023,honey bee,farm,garlic,managed pollinators,,,,,
Acute toxicity and sublethal effects of botanical insecticides to honey bees,3,3,2,3,3,2.8,https://academic.oup.com/jinsectscience/article/15/1/137/2583443,Scientific article,Journal of Insect Science,2015,honey bee,farm,garlic,managed pollinators,,,,,
Advances in Sustainable Development and Management of Environmental and Natural Resources,1,2,2,3,3,1.8,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003187455-10/honey-bee-farming-sustainable-rural-livelihood-merlin-kamala-isaac-devanand,Scientific article,Apple Academic Press,2021,honey bee,farm,vegetable,managed pollinators,,,,,
African endemic stingless bees as an efficient alternative pollinator to honey bees in greenhouse cucumber (Cucumis sativus L).,1,3,3,3,3,2.2,https://www.tandfonline.com/doi/abs/10.1080/00218839.2021.2013421,Scientific article,Journal of Apicultural Research,2023,honey bee,farm,cucumber,managed pollinators,,,,,
Agricultural landscape and pesticide effects on honey bee (Hymenoptera: Apidae) biological traits,3,3,2,3,3,2.8,https://academic.oup.com/jee/article/110/3/835/3231574,Scientific article,Journal of economic entomology,2017,honey bee,farm,corn,managed pollinators,,,,,
Agroecology and conservation of weed diversity in agricultural lands,3,2,2,3,3,2.6,https://www.tandfonline.com/doi/full/10.1080/23818107.2016.1236290,Scientific article,Botany Letters,2016,honey bee,farm,weed,managed pollinators,,,,,
Agroecosystem landscape diversity shapes wild bee communities independent of managed honey bee presence,3,2,3,3,3,2.8,https://www.sciencedirect.com/science/article/pii/S0167880921005302,Scientific article,"Agriculture, Ecosystems & Environment",2022,honey bee,wild bees,farm,farm,Midwest,,,,
An assessment of non-Apis bees as fruit and vegetable crop pollinators in southwest Virgini,3,2,3,1,3,2.6,https://vtechworks.lib.vt.edu/server/api/core/bitstreams/d1094576-0ef8-4b4d-934c-f7f0608c696f/content,Educational Institution,Virginia Polytechnic Institute and State University,2011,honey bee,farm,vegetable,managed pollinators,,,,,
An effective risk management approach to prevent bee damage due to the emission of abraded seed treatment particles during sowing of seeds treated with bee toxic insecticides,3,2,2,3,3,2.6,https://www.researchgate.net/publication/277045810_An_effective_risk_management_approach_to_prevent_bee_damage_due_to_the_emission_of_abraded_seed_treatment_particles_during_sowing_of_seeds_treated_with_bee_toxic_insecticides,Scientific article,Julius-Kühn-Archiv,2010,honey bee,farm,seed,managed pollinators,,,,,
An evaluation of Fruit-Boost™ as an aid for honey bee pollination under conditions of competing bloom.,1,3,2,3,3,2.0,https://www.tandfonline.com/doi/abs/10.3896/IBRA.1.48.1.04,Scientific article,Journal of apicultural research,2009,honey bee,farm,melon,managed pollinators,,,,,
Analysis of Honey Bee Hive Products as a Model for Monitoring Pesticide Usage in Agroecosystems,3,3,2,1,3,2.6,https://www.researchgate.net/profile/Kiatoko-Nkoba/publication/307606855_Analysis_of_Honey_Bee_Hive_Products_as_a_Model_for_Monitoring_Pesticide_Usage_in_Agroecosystems/links/57cd3b3308aedb6d6d9d6bc5/Analysis-of-Honey-Bee-Hive-Products-as-a-Model-for-Monitoring-Pesticide-Usage-in-Agroecosystems.pdf,Scientific article,Journal of Environmental and Earth Science,2016,honey bee,farm,vegetable,managed pollinators,,,,,
"Antibacterial Effect of Apis Mellifera Bees Honey, Garlic Extracts and Their Combination Against Salmonella in Wolayta Sodo, Southern Ethiopia",3,3,3,3,3,3.0,https://www.researchsquare.com/article/rs-3715467/v1,Non-Profit,preprint,2024,honey bee,farm,garlic,managed pollinators,,,,,
Assessing insecticide hazard to bumble bees foraging on flowering weeds in treated lawns,3,2,2,3,3,2.6,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0066375,Scientific article,PLOS one,2013,honey bee,farm,weed,managed pollinators,,,,,
Assessing the impact of the Conservation Reserve Program on honey bee health,3,1,2,1,3,2.2,https://pubs.usgs.gov/publication/fs20183082,Government,US Geological Survey,2019,honey bee,farm,Midwest,managed pollinators,,,,,
"ASSESSMENT OF EFFICACY OF NITAZOXANIDE VERSUS GARLIC IN TREATMENT OF CRYPTOSPORIDIOSIS AMONG HIV INFECTED PATIENTS IN FEVER HOSPITAL, ALEXANDRIA",3,3,2,1,3,2.6,https://jesp.journals.ekb.eg/article_165928_084ca558f05b16584efa05ffb4808011.pdf,Scientific article,Journal of the Egyptian Society of Parasitology,2021,honey bee,farm,garlic,managed pollinators,,,,,
Assessment of the environmental exposure of honeybees to particulate matter containing neonicotinoid insecticides coming from corn coated seeds,1,2,2,3,3,1.8,https://pubs.acs.org/doi/abs/10.1021/es2035152,Scientific article,Environmental science & technology,2012,honey bee,farm,corn,managed pollinators,,,,,
"Attitudes About Honey Bees and Pollinator-Friendly Practices: A Survey of Iowan Beekeepers, Farmers, and Landowners",3,3,3,2,3,2.9,"https://experts.illinois.edu/en/publications/attitudes-about-honey-bees-and-pollinator-friendly-practices-a-su#:~:text=Overall%2C%20we%20document%20strong%20support,are%20available%20to%20implement%20them.",Scientific article,Journal of Integrated Pest Management,2022,honey bee,farm,Midwest,managed pollinators,,,,,
Attraction of honey bees to watermelon with bee attractant,3,3,3,1,3,2.8,Attraction of honey bees to watermelon with bee attractant,Scientific article,Proceedings of the Florida State Horticultural Society,1990,honey bee,farm,melon,seed,,,,,
Bee on Alternative Flwoering Plants on Vegetable Farms in Conneticut,3,1,2,1,2,2.1,https://protectingbees.njaes.rutgers.edu/wp-content/uploads/2017/07/Bees-on-Alternative-Flowering-Plants-on-Vegetable-Farms-in.-Connecticut.pdf,Educational Institution,Rutgers University,2013,honey bee,farm,vegetable,managed pollinators,,,,,
Beekeeping in Minnesota,3,1,2,1,3,2.2,https://conservancy.umn.edu/server/api/core/bitstreams/92e882f3-2da0-4d09-8a79-e3d8e17f454e/content,Educational Institution,UMN Extension,1939,honey bee,farm,Minnesota,managed pollinators,,,,,
"Bees and crops in Spain: an update for melon, watermelon and almond.",1,3,3,3,3,2.2,https://www.tandfonline.com/doi/abs/10.1080/00379271.2020.1847191,Scientific article,Annales de la Société entomologique de France,2021,honey bee,farm,melon,managed pollinators,,,,,
Bees on alternative flowering plants on vegetable farms in Connecticut,3,1,2,1,3,2.2,https://protectingbees.njaes.rutgers.edu/wp-content/uploads/2017/07/Bees-on-Alternative-Flowering-Plants-on-Vegetable-Farms-in.-Connecticut.pdf,Educational Institution,University of Connecticut,2013,honey bee,wild bees,farm,vegetable,raspberry,,,,
Best management practices increase profitability of small-scale US beekeeping operations,3,3,2,3,3,2.8,https://academic.oup.com/jee/article/116/1/47/6827092,Scientific article,Journal of Economic Entomology,2023,honey bee,farm,Minnesota,managed pollinators,,,,,
Biodiversity and forage behavior of bees in Italian pumpkin crop (Cucurbita pepo),3,3,2,1,3,2.6,https://core.ac.uk/download/pdf/231155234.pdf,Scientific article,Colloquium Agrariae,2019,honey bee,farm,pumpkin,managed pollinators,,,,,
Botanical and synthetic pesticides alter the flower visitation rates of pollinator bees in Neotropical melon fields,1,2,3,3,3,2.0,https://www.sciencedirect.com/science/article/abs/pii/S0269749118352655,Scientific article,Environmental Pollution,2019,honey bee,wild bees,farm,herbicies,melon,fruit,,,
